RegistroGenealogico Media cg287646953_BC21 cg287647051_BC21 cg287647433_TC11 Avg
ESPH1705292210 1 0.9134534 0.9256260 0.9750478 0.613523306568221
ESPH1705292211 1 0.9002069 0.8826984 0.9740650 0.625676823419185
ESPH1705292213 1 0.8459723 0.9013876 0.9714947 0.618869036928296
ESPH1705292215 1 0.8978888 0.8956872 0.9733694 0.633614131115595
ESPH1705292216 1 0.9048239 0.9073607 0.9694970 0.638417377108494
ESPH1705292224 1 0.9177232 0.8923641 0.9672263 0.622963489116265
ESPH1705292225 1 0.8815133 0.9190198 0.9684780 0.629583659741908
ESPH1705292226 1 0.8915432 0.9219289 0.9682836 0.637687785869775
ESPH1705292227 1 0.8698651 0.9189178 0.9689715 0.628080626768006
ESPH1705292228 1 0.9092443 0.9219437 0.9681674 0.624394084074303
ESPH1705292230 1 0.8833537 0.9031218 0.9679992 0.628687919465782
ESPH1705292231 1 0.8876363 0.8442492 0.9706081 0.616369655985959
ESPH1705292233 1 0.8959718 0.9184582 0.9709914 0.625934839565247
ESPH1705292229 1 0.8747348 0.7966262 0.9674890 0.619678348108842
ESPH1705292235 1 0.8954496 0.8604676 0.9683474 0.625101467647749
ESPH1705292234 1 0.8992231 0.9098471 0.9696673 0.625787319721008
ESPH1705292236 1 0.8647058 0.9167601 0.9683833 0.622890360499973
ESPH1705292237 1 0.9086417 0.8943255 0.9703850 0.606801829746249
ESPH1705292238 1 0.8927456 0.9265684 0.9704112 0.625753484517685
ESPH1705292246 1 0.8976309 0.8606565 0.9719237 0.62432257296254
ESPH1705292247 1 0.9134988 0.8893658 0.9632920 0.625799164165675
ESPH1705292248 1 0.8724362 0.8086183 0.9711843 0.610738620853698
ESPH1705292250 1 0.9160722 0.8279518 0.9662808 0.626181335606592
ESPH1705292239 1 0.8790373 0.8864404 0.9717594 0.622919108161442
ESPH1705292241 1 0.8801531 0.8622286 0.9698748 0.618330730431913
ESPH1705292242 1 0.8939977 0.8210002 0.9720800 0.616836535893382
ESPH1705292243 1 0.8987224 0.9002727 0.9725613 0.621634441528162
ESPH1705292245 1 0.8816410 0.9265385 0.9696144 0.620029569562487
ESPH1705292249 1 0.8776767 0.8734060 0.9695975 0.612192080996892
ESPH1705292251 1 0.8997308 0.9223047 0.9696469 0.615751155375965
ESPH1705292257 1 0.9193213 0.9318956 0.9729359 0.634122384619132
ESPH1705292258 1 0.8895489 0.9065988 0.9638653 0.61584084516814
ESPH1705292260 1 0.8699660 0.9171605 0.9701556 0.626695949440568
ESPH1705292265 1 0.8847612 0.8937534 0.9729946 0.622796509889121
ESPH1705292264 1 0.8862952 0.8987819 0.9691440 0.620198861161602
ESPH1705292269 1 0.8978957 0.9024928 0.9696133 0.619477683521409
ESPH1705292270 1 0.9055384 0.9189905 0.9650260 0.615455362259352
